;tr0
a22;19.02.2016 14:41
a23;19.02.2016 14:57
a24;19.02.2016 15:40
a25;19.02.2016 16:06
a26;19.02.2016 16:44
a27;19.02.2016 17:05
a28;19.02.2016 17:21
a29;19.02.2016 18:04
a30;19.02.2016 19:02
a31;19.02.2016 19:50
a32;19.02.2016 20:22
a33;19.02.2016 20:44
a34;19.02.2016 21:48
a35;19.02.2016 22:20
a36;19.02.2016 22:52
a37;19.02.2016 23:45
a38;20.02.2016 0:28
a39;20.02.2016 1:26
a40;20.02.2016 1:47
d0;20.02.2016 2:30
d1;20.02.2016 2:51
d2;20.02.2016 3:29
d3;20.02.2016 4:27
d4;20.02.2016 5:21
d5;20.02.2016 6:09
d6;20.02.2016 6:51
d7;20.02.2016 7:34
d8;20.02.2016 8:06
d9;20.02.2016 8:43
d10;20.02.2016 9:42
d11;20.02.2016 10:03
d12;20.02.2016 10:24
d13;20.02.2016 11:02
d14;20.02.2016 11:34
;
;
;tr15
a0;18.02.2016 20:18
a1;18.02.2016 20:50
a2;18.02.2016 21:38
a3;18.02.2016 22:42
a4;18.02.2016 23:03
a5;19.02.2016 0:02
a6;19.02.2016 0:34
a7;19.02.2016 1:22
a8;19.02.2016 1:54
a9;19.02.2016 2:52
a10;19.02.2016 3:56
a11;19.02.2016 4:23
a12;19.02.2016 5:00
a13;19.02.2016 5:43
a14;19.02.2016 6:04
a15;19.02.2016 6:47
a16;19.02.2016 7:03
a17;19.02.2016 7:35
a18;19.02.2016 8:23
a19;19.02.2016 8:49
a20;19.02.2016 9:37
a21;19.02.2016 10:36
a22;19.02.2016 11:08
a23;19.02.2016 11:24
a24;19.02.2016 12:07
a25;19.02.2016 12:33
a26;19.02.2016 13:11
a27;19.02.2016 13:32
a28;19.02.2016 13:48
a29;19.02.2016 14:31
a30;19.02.2016 15:29
a31;19.02.2016 16:17
a32;19.02.2016 16:49
a33;19.02.2016 17:10
a34;19.02.2016 18:14
a35;19.02.2016 18:46
a36;19.02.2016 19:18
a37;19.02.2016 20:12
a38;19.02.2016 20:54
a39;19.02.2016 21:53
a40;19.02.2016 22:14
a41;19.02.2016 22:36
a42;19.02.2016 23:40
a43;20.02.2016 0:28
a44;20.02.2016 0:43
a45;20.02.2016 1:42
a46;20.02.2016 2:35
a47;20.02.2016 3:13
a48;20.02.2016 4:01
a49;20.02.2016 4:27
a50;20.02.2016 5:26
a51;20.02.2016 5:58
a52;20.02.2016 6:25
a53;20.02.2016 6:41
a54;20.02.2016 7:02
a55;20.02.2016 7:55
a56;20.02.2016 8:27
a57;20.02.2016 9:26
a58;20.02.2016 10:30
a59;20.02.2016 11:18
a60;20.02.2016 12:11
e0;20.02.2016 12:43
e1;20.02.2016 13:47
e2;20.02.2016 14:19
e3;20.02.2016 15:02
e4;20.02.2016 15:28
e5;20.02.2016 16:32
e6;20.02.2016 16:48
e7;20.02.2016 17:36
e8;20.02.2016 18:35
e9;20.02.2016 18:56
;
;
;tr16
b10;19.02.2016 2:04
b9;19.02.2016 2:47
b8;19.02.2016 3:30
b7;19.02.2016 4:28
b6;19.02.2016 4:55
